Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0
Flemington,12/132 Princes St,2,u,556000.0,S,Woodards,16/07/2016,4.4,3031.0,2.0,2.0,1.0,0.0,79.0,2009.0,Moonee Valley,-37.784,144.9356,Northern Metropolitan,3593.0
Carnegie,2/60 Woornack Rd,2,u,635000.0,S,Noel,6/05/2017,11.4,3163.0,2.0,1.0,1.0,0.0,73.0,1980.0,Glen Eira,-37.8981,145.0619,Southern Metropolitan,7822.0
Doreen,33 Starboard Dr,3,h,530500.0,S,Buckingham,1/07/2017,25.9,3754.0,3.0,2.0,2.0,400.0,179.0,2012.0,Whittlesea,-37.61042,145.11932,Northern Victoria,7254.0
Eaglemont,104 Studley Rd,3,h,1440000.0,S,Miles,15/07/2017,8.9,3084.0,3.0,1.0,2.0,598.0,116.0,1955.0,Banyule,-37.76093,145.056,Eastern Metropolitan,1651.0
Murrumbeena,17 Howe St,3,h,1370000.0,S,Woodards,12/11/2016,12.1,3163.0,3.0,2.0,2.0,834.0,168.0,1954.0,Glen Eira,-37.8959,145.0736,Southern Metropolitan,4442.0
Footscray,101/26 Beaurepaire Pde,2,u,455000.0,SP,Jas,12/08/2017,5.1,3011.0,2.0,1.0,1.0,0.0,62.0,2015.0,Maribyrnong,-37.79975,144.88368,Western Metropolitan,7570.0
Essendon North,18 Royal Av,3,h,1535000.0,S,Jellis,22/07/2017,8.2,3041.0,3.0,1.0,2.0,811.0,152.0,1925.0,Moonee Valley,-37.7384,144.90485,Western Metropolitan,1308.0
Richmond,249 Punt Rd,4,h,905000.0,S,Biggin,22/05/2016,2.6,3121.0,4.0,1.0,0.0,254.0,124.0,1890.0,Yarra,-37.8201,144.9898,Northern Metropolitan,14949.0
Fitzroy,502/416 Gore St,2,u,790000.0,S,Nelson,8/07/2017,2.1,3065.0,2.0,1.0,2.0,6367.0,75.0,1930.0,Yarra,-37.7967,144.98363,Northern Metropolitan,5825.0
Bentleigh,15A Windsor Av,4,t,1750000.0,S,Buxton,12/08/2017,11.4,3204.0,4.0,3.0,2.0,429.0,262.0,2013.0,Glen Eira,-37.91582,145.048,Southern Metropolitan,6795.0
Preston,227 Murray Rd,2,h,850000.0,S,Barry,7/05/2016,8.8,3072.0,2.0,1.0,1.0,356.0,102.0,1940.0,Darebin,-37.7384,145.0058,Northern Metropolitan,14577.0
Hadfield,27 Middle St,3,h,730000.0,S,Barry,10/12/2016,12.1,3046.0,3.0,1.0,2.0,570.0,134.0,1970.0,Moreland,-37.7106,144.9491,Northern Metropolitan,2606.0
Seddon,36 Bayview Rd,3,h,1085000.0,S,Village,24/06/2017,5.1,3011.0,3.0,1.0,1.0,297.0,211.0,1920.0,Maribyrnong,-37.80828,144.8856,Western Metropolitan,2417.0
Carnegie,4/49 Coorigil Rd,3,u,945000.0,S,hockingstuart,20/05/2017,11.4,3163.0,3.0,1.0,2.0,1103.0,100.0,1987.0,Glen Eira,-37.8958,145.0603,Southern Metropolitan,7822.0
Murrumbeena,9 Stewart St,3,h,820000.0,PI,Woodards,4/06/2016,12.1,3163.0,2.0,1.0,1.0,274.0,107.0,1925.0,Glen Eira,-37.8968,145.075,Southern Metropolitan,4442.0
Glen Iris,48 Martin Rd,3,h,2115000.0,S,Jellis,7/05/2016,9.2,3146.0,4.0,2.0,2.0,745.0,157.0,1920.0,Boroondara,-37.8501,145.059,Southern Metropolitan,10412.0
Kealba,6 McGrath Cl,3,h,545000.0,SP,Brad,16/07/2016,15.0,3021.0,3.0,2.0,2.0,570.0,163.0,1980.0,Brimbank,-37.7367,144.8246,Western Metropolitan,1202.0
Chelsea Heights,11 Rebecca Cl,5,h,835500.0,S,Ray,29/07/2017,27.0,3196.0,5.0,5.0,4.0,570.0,243.0,1990.0,Kingston,-38.03335,145.13212,South-Eastern Metropolitan,2076.0
Keilor Park,35 Spence St,3,h,566000.0,S,Nelson,28/05/2016,14.5,3042.0,3.0,2.0,2.0,554.0,129.0,1980.0,Brimbank,-37.7212,144.8598,Western Metropolitan,1119.0
Port Melbourne,95 Station St,2,h,1150000.0,S,Marshall,18/03/2017,3.8,3207.0,2.0,1.0,0.0,82.0,90.0,1910.0,Port Phillip,-37.8361,144.9403,Southern Metropolitan,8648.0
Preston,33 Gordon Gr,4,h,871000.0,S,Ray,27/11/2016,8.8,3072.0,4.0,2.0,1.0,561.0,150.0,1950.0,Darebin,-37.7369,145.0201,Northern Metropolitan,14577.0
Brunswick,37 Fourth Av,3,h,1037000.0,S,Nelson,8/07/2017,5.2,3056.0,3.0,1.0,1.0,210.0,101.0,1996.0,Moreland,-37.75746,144.95633,Northern Metropolitan,11918.0
Preston,33 Grandview Rd,3,h,1000000.0,VB,Nelson,20/05/2017,8.8,3072.0,3.0,1.0,3.0,624.0,145.0,1950.0,Darebin,-37.7373,144.9864,Northern Metropolitan,14577.0
Richmond,36 Elm Gr,3,h,1695000.0,S,Marshall,17/09/2016,2.6,3121.0,3.0,1.0,3.0,210.0,118.0,1900.0,Yarra,-37.8247,145.0001,Northern Metropolitan,14949.0
Bentleigh East,48a Celia St,4,t,1250000.0,PI,Buxton,17/09/2016,13.9,3165.0,4.0,2.0,2.0,314.0,231.0,2010.0,Glen Eira,-37.9299,145.0598,Southern Metropolitan,10969.0
Hampton,12/45 Grenville St,3,u,970000.0,S,Buxton,17/06/2017,13.8,3188.0,3.0,2.0,2.0,0.0,99.0,2005.0,Bayside,-37.93538,145.00224,Southern Metropolitan,5454.0
Bundoora,23 Wisteria Dr,4,h,1253000.0,S,Ray,12/08/2017,12.1,3083.0,4.0,2.0,2.0,760.0,366.0,2000.0,Whittlesea,-37.67935,145.05728,Northern Metropolitan,10175.0
Ascot Vale,7 Francis St,3,h,1380000.0,SP,Nelson,4/03/2017,5.9,3032.0,3.0,2.0,2.0,277.0,174.0,1910.0,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567.0
Canterbury,5 Dorothea St,2,h,1305000.0,S,Jellis,8/10/2016,9.0,3126.0,2.0,1.0,1.0,342.0,104.0,1945.0,Boroondara,-37.8326,145.08100000000005,Southern Metropolitan,3265.0
Footscray,58 Wolverhampton St,4,h,977000.0,S,Village,3/12/2016,6.4,3011.0,4.0,2.0,1.0,154.0,161.0,2007.0,Maribyrnong,-37.7983,144.8911,Western Metropolitan,7570.0
South Yarra,10/20 Cromwell Rd,1,u,410000.0,PI,Jellis,12/08/2017,2.7,3141.0,1.0,1.0,1.0,0.0,50.0,1960.0,Stonnington,-37.8446,145.00018,Southern Metropolitan,14887.0
Sunshine,3 Lynch St,3,h,715000.0,S,YPA,14/05/2016,12.6,3020.0,3.0,1.0,2.0,558.0,104.0,1925.0,Brimbank,-37.7807,144.8341,Western Metropolitan,3755.0
Yarraville,10 Tuppen St,5,h,1287000.0,S,hockingstuart,27/11/2016,7.0,3013.0,5.0,2.0,2.0,488.0,213.0,1930.0,Maribyrnong,-37.8131,144.8778,Western Metropolitan,6543.0
Bentleigh,81 Fromer St,4,h,1430000.0,S,hockingstuart,22/08/2016,13.0,3204.0,4.0,2.0,2.0,611.0,168.0,1970.0,Glen Eira,-37.9289,145.0481,Southern Metropolitan,6795.0
West Footscray,77 Suffolk St,2,h,495000.0,S,Burnham,24/09/2016,8.2,3012.0,2.0,1.0,2.0,161.0,700.0,1977.0,Maribyrnong,-37.7905,144.8714,Western Metropolitan,5058.0
West Melbourne,10/18 Ireland St,1,u,460000.0,PI,Nelson,4/06/2016,1.9,3003.0,1.0,1.0,1.0,0.0,52.0,2000.0,Melbourne,-37.8076,144.9456,Northern Metropolitan,2230.0
Kingsville,2/15 Edgar St,2,u,440000.0,S,hockingstuart,15/10/2016,7.8,3012.0,2.0,1.0,1.0,117.0,74.0,2008.0,Maribyrnong,-37.8083,144.8775,Western Metropolitan,1808.0
Reservoir,2/7 Colthur St,3,u,475000.0,SP,Barry,22/08/2016,11.2,3073.0,3.0,1.0,2.0,521.0,100.0,2010.0,Darebin,-37.7097,144.9912,Northern Metropolitan,21650.0
Ashburton,16a Nicholas St,3,h,1100000.0,PI,Marshall,8/10/2016,11.0,3147.0,3.0,3.0,2.0,276.0,178.0,2004.0,Boroondara,-37.8699,145.0778,Southern Metropolitan,3052.0
Emerald,35 Kings Rd,2,h,655000.0,S,Kaye,29/07/2017,36.9,3782.0,2.0,1.0,0.0,1000.0,81.79,1980.0,Cardinia,-37.93064,145.4453,Eastern Victoria,2259.0
Rosanna,14 Invermay Gr,3,h,945000.0,S,Miles,26/07/2016,11.4,3084.0,3.0,1.0,1.0,625.0,135.0,1960.0,Banyule,-37.7412,145.0642,Eastern Metropolitan,3540.0
Fitzroy,101/416 Gore St,2,u,715000.0,S,Nelson,26/07/2016,1.6,3065.0,2.0,1.0,1.0,0.0,74.0,1900.0,Yarra,-37.7967,144.9836,Northern Metropolitan,5825.0
Moonee Ponds,61 Steele St,4,h,1361500.0,S,Rendina,10/12/2016,6.9,3039.0,4.0,1.0,2.0,453.0,145.0,1920.0,Moonee Valley,-37.7698,144.9336,Western Metropolitan,6232.0
Southbank,92/99 Whiteman St,2,u,650000.0,VB,Marshall,6/08/2016,1.2,3006.0,2.0,2.0,1.0,0.0,110.0,2000.0,Melbourne,-37.8273,144.9556,Southern Metropolitan,8400.0
Hawthorn,22/9 Lisson Gr,1,u,445000.0,S,Biggin,19/11/2016,4.6,3122.0,1.0,1.0,1.0,0.0,52.0,1970.0,Boroondara,-37.8261,145.0269,Southern Metropolitan,11308.0
Ashburton,47 Yuile St,4,h,1550000.0,VB,Marshall,12/11/2016,11.0,3147.0,4.0,2.0,2.0,780.0,180.0,1938.0,Boroondara,-37.86,145.0817,Southern Metropolitan,3052.0
Altona,41 Maidstone St,3,u,767000.0,SP,Barlow,12/08/2017,11.0,3018.0,3.0,2.0,1.0,305.0,132.0,2005.0,Hobsons Bay,-37.871,144.81153,Western Metropolitan,5301.0
Sunbury,11 Gruner St,3,h,438000.0,S,YPA,22/07/2017,31.7,3429.0,3.0,1.0,4.0,606.0,96.0,1994.0,Hume,-37.57532,144.71058,Western Metropolitan,14092.0
Balwyn North,42 Maud St,3,h,1480000.0,PI,Jellis,15/10/2016,9.2,3104.0,3.0,1.0,4.0,605.0,116.0,1950.0,Boroondara,-37.7951,145.0696,Southern Metropolitan,7809.0
Meadow Heights,2 Navarre Ct,3,h,467000.0,S,Raine,24/06/2017,17.4,3048.0,3.0,1.0,1.0,565.0,98.0,1975.0,Hume,-37.65702,144.92447,Northern Metropolitan,4704.0
Balwyn North,108 Bulleen Rd,5,h,1750000.0,VB,Jellis,7/11/2016,9.2,3104.0,5.0,3.0,2.0,705.0,365.0,2013.0,Boroondara,-37.7851,145.0775,Southern Metropolitan,7809.0
Clifton Hill,3/30 Edmund St,2,u,495000.0,S,iTRAK,13/08/2016,3.4,3068.0,2.0,1.0,1.0,515.0,50.0,1970.0,Yarra,-37.7875,145.0049,Northern Metropolitan,2954.0
Braybrook,2B Bradford Ct,3,t,579000.0,S,Sweeney,19/11/2016,10.8,3019.0,3.0,2.0,1.0,198.0,144.0,2013.0,Maribyrnong,-37.7827,144.8625,Western Metropolitan,3589.0
Williamstown,8 Princes St,3,h,1150000.0,SP,Jas,8/04/2017,8.0,3016.0,3.0,1.0,0.0,308.0,120.0,1900.0,Hobsons Bay,-37.8526,144.895,Western Metropolitan,6380.0
Coburg,3/19 Chandos St,2,u,515000.0,S,Ray,27/06/2016,7.8,3058.0,2.0,1.0,2.0,0.0,70.0,1970.0,Moreland,-37.7474,144.9608,Northern Metropolitan,11204.0
Hampton,3/8 Alicia St,2,u,500000.0,PI,Hodges,27/06/2016,13.7,3188.0,2.0,1.0,1.0,0.0,61.0,1970.0,Bayside,-37.9436,145.0027,Southern Metropolitan,5454.0
Maidstone,171 Mitchell St,4,h,675000.0,S,Sweeney,28/05/2016,9.2,3012.0,4.0,1.0,1.0,595.0,80.0,1950.0,Maribyrnong,-37.7817,144.868,Western Metropolitan,3873.0
Viewbank,14 Rosemary Ct,4,h,730000.0,PI,Miles,4/06/2016,13.8,3084.0,4.0,1.0,1.0,865.0,172.0,1960.0,Banyule,-37.7297,145.0946,Eastern Metropolitan,2698.0
St Kilda,12/14 Chapel St,2,u,701000.0,SP,McGrath,12/08/2017,5.0,3182.0,2.0,1.0,0.0,0.0,107.0,1950.0,Port Phillip,-37.86257,144.99161,Southern Metropolitan,13240.0
Richmond,17/47 Mary St,3,h,1190000.0,S,Biggin,17/06/2017,2.4,3121.0,3.0,2.0,1.0,105.0,110.0,1997.0,Yarra,-37.82146,145.00203,Northern Metropolitan,14949.0
Brunswick,36 Charles St,4,h,1875000.0,S,Jellis,27/06/2016,5.2,3056.0,4.0,2.0,2.0,657.0,207.0,1958.0,Moreland,-37.7725,144.964,Northern Metropolitan,11918.0
North Melbourne,306/64 MacAulay Rd,2,u,465000.0,SP,Jellis,22/07/2017,1.8,3051.0,2.0,1.0,1.0,0.0,53.0,2010.0,Melbourne,-37.79831,144.94261,Northern Metropolitan,6821.0
Maribyrnong,12 Ibis Pl,3,h,884500.0,S,Jellis,30/07/2016,8.7,3032.0,3.0,2.0,2.0,211.0,234.0,2005.0,Maribyrnong,-37.7848,144.8969,Western Metropolitan,4918.0
Ascot Vale,10 McCully St,3,h,1377000.0,S,Nelson,6/08/2016,5.9,3032.0,3.0,1.0,1.0,417.0,168.0,1900.0,Moonee Valley,-37.7756,144.9208,Western Metropolitan,6567.0
Burwood,1/24 Daniel St,3,t,975000.0,VB,Reed,8/04/2017,11.7,3125.0,3.0,2.0,2.0,267.0,150.0,2012.0,Whitehorse,-37.8463,145.1071,Southern Metropolitan,5678.0
Carnegie,14/82 Coorigil Rd,2,u,370000.0,VB,Thomson,26/07/2016,11.4,3163.0,2.0,1.0,1.0,0.0,68.0,1950.0,Glen Eira,-37.8959,145.0639,Southern Metropolitan,7822.0
Newport,3 River St,3,h,1210000.0,SP,Williams,6/08/2016,8.4,3015.0,3.0,1.0,1.0,546.0,144.0,1920.0,Hobsons Bay,-37.8414,144.892,Western Metropolitan,5498.0
Box Hill,35 Barkly St,3,h,1760000.0,S,Noel,20/05/2017,13.1,3128.0,3.0,1.0,2.0,689.0,152.0,1920.0,Whitehorse,-37.8262,145.1301,Eastern Metropolitan,4605.0
Sunbury,27 Holloway Cl,3,h,455000.0,SP,Raine,17/06/2017,31.7,3429.0,3.0,1.0,6.0,639.0,120.0,1990.0,Hume,-37.56291,144.72848,Western Metropolitan,14092.0
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0
Richmond,153/73 River St,2,u,560000.0,SP,Biggin,28/05/2016,2.6,3121.0,2.0,2.0,1.0,0.0,70.0,2004.0,Yarra,-37.8189,145.0131,Northern Metropolitan,14949.0
Ormond,15 Tyrone St,4,h,1918000.0,S,Buxton,6/08/2016,11.8,3204.0,4.0,2.0,1.0,678.0,162.0,1920.0,Glen Eira,-37.9065,145.0461,Southern Metropolitan,3578.0
North Melbourne,72 Curzon St,2,h,1126000.0,SP,Nelson,27/05/2017,1.8,3051.0,2.0,1.0,0.0,114.0,65.0,1910.0,Melbourne,-37.80248,144.94846,Northern Metropolitan,6821.0
Bentleigh East,2/16 Argyle St,2,u,535000.0,SP,hockingstuart,29/04/2017,13.9,3165.0,2.0,1.0,1.0,1026.0,68.11,1970.0,Glen Eira,-37.911,145.0711,Southern Metropolitan,10969.0
Albert Park,115 Page St,4,h,4735000.0,S,Marshall,25/02/2017,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0
Footscray,47 Shepherd St,3,h,871000.0,S,Greg,13/05/2017,6.4,3011.0,3.0,1.0,1.0,267.0,101.0,1900.0,Maribyrnong,-37.7951,144.8901,Western Metropolitan,7570.0
Preston,13 The Mews,3,h,750000.0,PI,hockingstuart,30/07/2016,8.8,3072.0,3.0,3.0,2.0,0.0,127.0,2005.0,Darebin,-37.75,144.9846,Northern Metropolitan,14577.0
Burwood,1/54 McIntyre St,4,u,800000.0,PI,Lindellas,28/05/2016,11.7,3125.0,4.0,2.0,1.0,0.0,150.0,1950.0,Whitehorse,-37.8507,145.109,Southern Metropolitan,5678.0
Doncaster,3/37 Highview Dr,3,u,910000.0,S,Barry,7/11/2016,13.9,3108.0,3.0,2.0,2.0,299.0,135.0,2001.0,Manningham,-37.7929,145.1338,Eastern Metropolitan,9028.0
Blackburn South,12/5 Travellyn Ct,2,u,615000.0,S,Ray,29/07/2017,13.4,3130.0,2.0,1.0,1.0,3316.0,85.0,1970.0,Whitehorse,-37.8321,145.14444,Eastern Metropolitan,4387.0
Caulfield North,75 Normanby Rd,4,h,1925000.0,PI,Marshall,12/08/2017,7.8,3161.0,4.0,2.0,2.0,494.0,176.0,1900.0,Glen Eira,-37.87206,145.03512,Southern Metropolitan,6923.0
South Morang,15 Vincent Dr,4,h,485000.0,S,Love,12/08/2017,20.5,3752.0,4.0,2.0,2.0,196.0,163.0,2008.0,Whittlesea,-37.63873,145.07805,Northern Metropolitan,7969.0
Pascoe Vale,23 Alexandra St,3,h,780000.0,S,Brad,4/03/2017,9.9,3044.0,3.0,1.0,1.0,446.0,115.0,1950.0,Moreland,-37.7181,144.9422,Northern Metropolitan,7485.0
Elsternwick,53 Shoobra Rd,4,h,2600000.0,SP,Biggin,22/08/2016,8.5,3185.0,5.0,3.0,2.0,701.0,273.0,1885.0,Glen Eira,-37.8897,145.00799999999995,Southern Metropolitan,4898.0
Watsonia,1 Papua St,2,h,662000.0,S,Buckingham,16/07/2016,14.9,3087.0,2.0,1.0,2.0,605.0,114.0,1960.0,Banyule,-37.7118,145.088,Northern Metropolitan,2329.0
Oakleigh South,3/6 Reid St,2,u,601000.0,SP,Ray,12/08/2017,15.5,3167.0,2.0,1.0,1.0,0.0,62.0,1980.0,Monash,-37.91061,145.0862,South-Eastern Metropolitan,3692.0
Malvern,29/202 Wattletree Rd,2,u,566000.0,SP,hockingstuart,15/10/2016,7.4,3144.0,2.0,1.0,1.0,0.0,80.0,1970.0,Stonnington,-37.8633,145.0338,Southern Metropolitan,4675.0
Sunshine North,9 Compton Pde,6,h,750000.0,SP,Douglas,27/05/2017,10.5,3020.0,6.0,2.0,4.0,588.0,113.0,1955.0,Brimbank,-37.77049,144.83167,Western Metropolitan,4217.0
Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16/04/2016,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0
Melbourne,601/616 Little Collins St,4,u,1850000.0,VB,hockingstuart,8/04/2017,2.8,3000.0,4.0,2.0,1.0,0.0,213.0,1938.0,Melbourne,-37.8177,144.9544,Northern Metropolitan,17496.0
Sunshine,3/2 Cooper St,3,t,500000.0,PI,Douglas,27/06/2016,12.6,3020.0,3.0,1.0,2.0,224.0,159.0,1985.0,Brimbank,-37.7863,144.8401,Western Metropolitan,3755.0
Sandringham,124 Abbott St,3,h,1651000.0,S,Buxton,22/07/2017,15.2,3191.0,3.0,2.0,1.0,390.0,125.0,1950.0,Bayside,-37.95035,145.01571,Southern Metropolitan,4497.0
West Footscray,12/32 Argyle St,2,h,438000.0,S,hockingstuart,8/10/2016,8.2,3012.0,2.0,1.0,2.0,0.0,75.0,1970.0,Maribyrnong,-37.7952,144.8749,Western Metropolitan,5058.0
Viewbank,20 Robern Pde,4,h,1005000.0,S,Darren,7/11/2016,13.8,3084.0,4.0,2.0,1.0,696.0,183.0,1950.0,Banyule,-37.7395,145.0875,Eastern Metropolitan,2698.0
Sunshine,54 Ardoyne St,3,h,940000.0,S,Douglas,6/05/2017,12.6,3020.0,3.0,2.0,2.0,572.0,190.0,1950.0,Brimbank,-37.7966,144.8256,Western Metropolitan,3755.0
Reservoir,1/209 Purinuan Rd,2,t,652000.0,S,Nelson,13/05/2017,11.2,3073.0,2.0,2.0,2.0,254.0,93.0,2007.0,Darebin,-37.7071,145.0108,Northern Metropolitan,21650.0
Yarraville,46 MacKay St,4,h,1455000.0,S,Village,29/04/2017,7.0,3013.0,4.0,1.0,1.0,328.0,140.0,1920.0,Maribyrnong,-37.8097,144.8906,Western Metropolitan,6543.0
Jacana,12 Lorraine Cr,3,h,528000.0,SP,RW,22/07/2017,14.0,3047.0,3.0,1.0,3.0,588.0,92.0,1960.0,Hume,-37.68306,144.90928,Northern Metropolitan,851.0
Glen Waverley,53 Campbell St,3,h,3056000.0,PI,VICProp,17/06/2017,16.7,3150.0,4.0,2.0,2.0,1590.0,292.0,1992.0,Monash,-37.86957,145.17543999999995,Eastern Metropolitan,15321.0
